2017-03-19 13:36:58 INFO  Cipher:67 - null Encryption Finished - Total time: 2.079746 ms
2017-03-19 13:36:58 INFO  Cipher:60 - null Encryption Started
2017-03-19 13:36:58 INFO  Cipher:67 - check\þþIMG-20150816-WA0008 - òåú÷ (13).jpg Encryption Finished - Total time: 59.735028 ms
2017-03-19 13:36:58 INFO  Cipher:67 - check\þþIMG-20150816-WA0008 - òåú÷ (18).jpg Encryption Finished - Total time: 6.539747 ms
2017-03-19 13:36:58 INFO  Cipher:67 - null Encryption Finished - Total time: 0.512342 ms
2017-03-19 13:36:58 INFO  Cipher:67 - check\þþIMG-20150816-WA0008 - òåú÷ (19).jpg Encryption Finished - Total time: 7.947045 ms
2017-03-19 13:36:58 INFO  Cipher:60 - check\þþIMG-20150816-WA0008 - òåú÷ (2).jpg Encryption Started
2017-03-19 13:36:58 INFO  Cipher:60 - check\þþIMG-20150816-WA0008 - òåú÷ (20).jpg Encryption Started
2017-03-19 13:36:58 INFO  Cipher:60 - null Encryption Started
2017-03-19 13:36:58 INFO  Cipher:67 - null Encryption Finished - Total time: 0.430236 ms
2017-03-19 13:36:58 INFO  Cipher:60 - null Encryption Started
2017-03-19 13:36:58 INFO  Cipher:67 - null Encryption Finished - Total time: 0.254528 ms
2017-03-19 13:36:58 INFO  Cipher:60 - check\þþIMG-20150816-WA0008 - òåú÷ (21).jpg Encryption Started
2017-03-19 13:36:58 INFO  Cipher:60 - null Encryption Started
2017-03-19 13:36:58 INFO  Cipher:67 - null Encryption Finished - Total time: 0.465542 ms
2017-03-19 13:36:58 INFO  Cipher:60 - null Encryption Started
2017-03-19 13:36:58 INFO  Cipher:67 - null Encryption Finished - Total time: 0.188434 ms
2017-03-19 13:36:58 INFO  Cipher:67 - check\þþIMG-20150816-WA0008 - òåú÷ (2).jpg Encryption Finished - Total time: 5.93832 ms
2017-03-19 13:36:58 INFO  Cipher:60 - null Encryption Started
2017-03-19 13:36:58 INFO  Cipher:67 - null Encryption Finished - Total time: 0.313235 ms
2017-03-19 13:36:58 INFO  Cipher:60 - null Encryption Started
2017-03-19 13:36:58 INFO  Cipher:60 - check\þþIMG-20150816-WA0008 - òåú÷ (22).jpg Encryption Started
2017-03-19 13:36:58 INFO  Cipher:67 - check\þþIMG-20150816-WA0008 - òåú÷ (20).jpg Encryption Finished - Total time: 5.791761 ms
2017-03-19 13:36:58 INFO  Cipher:67 - null Encryption Finished - Total time: 0.385078 ms
2017-03-19 13:36:58 INFO  Cipher:60 - null Encryption Started
